,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
0,16,2,2,1,180.38901808010985,4.301621437072754,1,0,"0     0.130705
1     0.131020
2     0.123228
3     0.125707
4     0.122333
        ...   
95    0.030521
96    0.028572
97    0.029380
98    0.029383
99    0.025328
Length: 100, dtype: float64","0     0.283123
1     0.279142
2     0.275211
3     0.271319
4     0.267471
        ...   
95    0.055993
96    0.055493
97    0.054981
98    0.054497
99    0.054054
Length: 100, dtype: float64",[0.03062894 0.03262149 0.03494843 ... 0.0098068  0.00980444 0.00980235],[0.0060687  0.0058902  0.0057051  ... 0.0033443  0.00331876 0.00329311]
1,16,2,2,1,179.88591883999666,3.1010618209838867,1,5,"0     0.026664
1     0.027324
2     0.033766
3     0.030995
4     0.030627
        ...   
95    0.019205
96    0.021097
97    0.019600
98    0.026001
99    0.018014
Length: 100, dtype: float64","0     0.052699
1     0.052199
2     0.051788
3     0.051406
4     0.051025
        ...   
95    0.039410
96    0.039339
97    0.039240
98    0.039203
99    0.039174
Length: 100, dtype: float64",[0.02870559 0.03047611 0.03264255 ... 0.01118691 0.01118649 0.01118607],[0.00654135 0.00637313 0.00619628 ... 0.00331225 0.00328528 0.00325816]
2,16,2,2,1,171.24457356890204,3.019773483276367,1,10,"0     0.024477
1     0.020577
2     0.025101
3     0.021160
4     0.027156
        ...   
87    0.026957
88    0.021499
89    0.022674
90    0.020149
91    0.016522
Length: 92, dtype: float64","0     0.037523
1     0.037466
2     0.037462
3     0.037397
4     0.037346
        ...   
87    0.031720
88    0.031694
89    0.031711
90    0.031768
91    0.031776
Length: 92, dtype: float64",[0.02561889 0.02709822 0.02877711 ... 0.01125241 0.0112514  0.01125042],[0.00692578 0.00677644 0.00661678 ... 0.00330073 0.00327274 0.00324399]
3,16,2,2,1,172.27791305617976,2.725907325744629,1,15,"0     0.022529
1     0.021655
2     0.025808
3     0.024482
4     0.023452
        ...   
68    0.022313
69    0.021877
70    0.017971
71    0.018684
72    0.027174
Length: 73, dtype: float64","0     0.033336
1     0.033297
2     0.033264
3     0.033137
4     0.033105
        ...   
68    0.028705
69    0.028638
70    0.028522
71    0.028384
72    0.028314
Length: 73, dtype: float64",[0.02222383 0.02325244 0.02465971 ... 0.01133587 0.01133455 0.01133326],[0.00715864 0.00703089 0.00689141 ... 0.00318161 0.00315153 0.00312049]
4,16,2,2,1,168.10815985735962,2.58573055267334,1,20,"0     0.021351
1     0.022396
2     0.021339
3     0.020839
4     0.028944
        ...   
57    0.022037
58    0.017983
59    0.020205
60    0.019816
61    0.017422
Length: 62, dtype: float64","0     0.029678
1     0.029633
2     0.029683
3     0.029794
4     0.029994
        ...   
57    0.028191
58    0.028181
59    0.028171
60    0.028135
61    0.028067
Length: 62, dtype: float64",[0.02137383 0.02183246 0.02274112 ... 0.01114335 0.01114156 0.01113977],[0.00738511 0.00728107 0.00716421 ... 0.00311768 0.00308517 0.00305135]
5,16,2,2,1,156.91969052699758,2.948834180831909,1,25,"0     0.020526
1     0.016984
2     0.019731
3     0.017180
4     0.019281
        ...   
80    0.015756
81    0.018680
82    0.019214
83    0.018850
84    0.019081
Length: 85, dtype: float64","0     0.028729
1     0.028776
2     0.028847
3     0.028987
4     0.029143
        ...   
80    0.030413
81    0.030545
82    0.030642
83    0.030651
84    0.030717
Length: 85, dtype: float64",[0.02027593 0.01980688 0.01930021 ... 0.01091827 0.01091497 0.01091174],[0.0076121  0.00753376 0.0074419  ... 0.00310946 0.00307402 0.00303704]
6,16,2,2,1,157.50188523078535,3.177830219268799,1,30,"0     0.019658
1     0.015623
2     0.017584
3     0.017240
4     0.018155
        ...   
92    0.017119
93    0.015668
94    0.017409
95    0.011711
96    0.015073
Length: 97, dtype: float64","0     0.030292
1     0.030339
2     0.030467
3     0.030511
4     0.030696
        ...   
92    0.028954
93    0.028999
94    0.029036
95    0.028996
96    0.028978
Length: 97, dtype: float64",[0.01980755 0.01983993 0.01959636 ... 0.01093787 0.01093617 0.01093451],[0.00773727 0.00768429 0.00761737 ... 0.00299751 0.00295863 0.00291816]
7,16,2,2,1,154.51249414024457,2.279681444168091,1,35,"0     0.014784
1     0.014552
2     0.017457
3     0.015849
4     0.016289
5     0.013685
6     0.013143
7     0.012374
8     0.016513
9     0.014014
10    0.012038
11    0.016979
12    0.013567
13    0.018996
14    0.014852
15    0.014290
16    0.014805
17    0.015470
18    0.014852
19    0.015344
20    0.015971
21    0.018337
22    0.014986
23    0.014366
24    0.014988
25    0.015337
26    0.015013
27    0.013794
28    0.016597
29    0.014529
30    0.014498
31    0.013897
32    0.017788
33    0.015284
34    0.012134
35    0.014794
36    0.018794
37    0.019099
38    0.016578
39    0.014940
40    0.013528
dtype: float64","0     0.030303
1     0.030317
2     0.030263
3     0.030358
4     0.030509
5     0.030584
6     0.030573
7     0.030571
8     0.030516
9     0.030444
10    0.030360
11    0.030392
12    0.030420
13    0.030511
14    0.030594
15    0.030693
16    0.030764
17    0.030740
18    0.030705
19    0.030799
20    0.030904
21    0.030895
22    0.030845
23    0.030728
24    0.030634
25    0.030563
26    0.030449
27    0.030376
28    0.030263
29    0.030133
30    0.029981
31    0.029752
32    0.029560
33    0.029419
34    0.029275
35    0.029082
36    0.028898
37    0.028804
38    0.028749
39    0.028708
40    0.028758
dtype: float64",[0.01905577 0.01909888 0.01913863 ... 0.01125197 0.01125039 0.01124882],[0.00793596 0.00790821 0.00786656 ... 0.00297258 0.00292994 0.00288559]
8,16,2,2,1,137.02085436678817,2.6939237117767334,1,40,"0     0.016907
1     0.014272
2     0.015667
3     0.013593
4     0.015797
        ...   
68    0.014353
69    0.010477
70    0.015069
71    0.012908
72    0.012741
Length: 73, dtype: float64","0     0.030133
1     0.030269
2     0.030367
3     0.030647
4     0.030807
        ...   
68    0.030559
69    0.030324
70    0.030053
71    0.029893
72    0.029745
Length: 73, dtype: float64",[0.01893695 0.01898614 0.01903267 ... 0.01066259 0.0106609  0.01065867],[0.00813665 0.00813425 0.00811845 ... 0.00299449 0.00294778 0.00289922]
9,16,2,2,1,131.7370853486341,2.3375661373138428,1,45,"0     0.016034
1     0.016832
2     0.015519
3     0.013012
4     0.015859
5     0.016703
6     0.017695
7     0.014817
8     0.016222
9     0.013244
10    0.014456
11    0.014370
12    0.016289
13    0.013575
14    0.013304
15    0.013928
16    0.014720
17    0.013922
18    0.014939
19    0.014096
20    0.014343
21    0.010347
22    0.013551
23    0.015288
24    0.016425
25    0.013573
26    0.013181
27    0.015731
28    0.013312
29    0.013637
30    0.012282
31    0.013550
32    0.016641
33    0.014045
34    0.013199
35    0.011247
36    0.013651
37    0.015486
38    0.015490
39    0.012983
40    0.011764
41    0.012964
42    0.012240
43    0.014715
44    0.013808
45    0.016722
46    0.013524
47    0.010409
48    0.016001
49    0.013824
50    0.015852
51    0.017215
dtype: float64","0     0.031071
1     0.030874
2     0.030821
3     0.030807
4     0.030855
5     0.030827
6     0.030798
7     0.030880
8     0.030991
9     0.031097
10    0.031222
11    0.031428
12    0.031620
13    0.031750
14    0.031764
15    0.031746
16    0.031674
17    0.031503
18    0.031387
19    0.031240
20    0.031099
21    0.030964
22    0.030887
23    0.030943
24    0.031002
25    0.031026
26    0.030981
27    0.031003
28    0.031072
29    0.031043
30    0.030963
31    0.030920
32    0.031006
33    0.030979
34    0.031041
35    0.031139
36    0.031325
37    0.031471
38    0.031613
39    0.031640
40    0.031618
41    0.031634
42    0.031690
43    0.031642
44    0.031722
45    0.031781
46    0.031887
47    0.032063
48    0.032260
49    0.032383
50    0.032601
51    0.032845
dtype: float64",[0.01885029 0.01890452 0.01895667 ... 0.01062563 0.01062298 0.01062034],[0.00831507 0.00833669 0.00834581 ... 0.00297989 0.00292817 0.00287458]
